Class,Row,Price,Available_count,Booked_count,Available_cost,Booked_cost
Diamond Class,A,150.0,0,30,0.0,4500.0
Diamond Class,B,150.0,0,25,0.0,3750.0
Diamond Class,C,150.0,0,25,0.0,3750.0
Diamond Class,D,150.0,0,25,0.0,3750.0
Diamond Class,E,150.0,0,25,0.0,3750.0
Diamond Class,F,150.0,25,0,3750.0,0.0
Diamond Class,G,150.0,25,0,3750.0,0.0
Diamond Class,H,150.0,25,0,3750.0,0.0
Diamond Class,I,150.0,25,0,3750.0,0.0
Diamond Class,J,150.0,25,0,3750.0,0.0
Gold Class,A,130.0,0,12,0.0,1560.0
Gold Class,B,130.0,0,14,0.0,1820.0
Gold Class,C,130.0,0,14,0.0,1820.0
Gold Class,D,130.0,0,14,0.0,1820.0
Gold Class,E,130.0,0,24,0.0,3120.0
Gold Class,F,130.0,0,24,0.0,3120.0
Gold Class,G,130.0,0,24,0.0,3120.0
Gold Class,H,130.0,0,24,0.0,3120.0
Gold Class,I,130.0,0,24,0.0,3120.0
Gold Class,J,130.0,0,24,0.0,3120.0
Gold Class,K,130.0,24,0,3120.0,0.0
Gold Class,L,130.0,24,0,3120.0,0.0
Gold Class,M,130.0,24,0,3120.0,0.0
Gold Class,N,130.0,24,0,3120.0,0.0
Gold Class,O,130.0,24,0,3120.0,0.0
Silver Class,A,100.0,0,30,0.0,3000.0
Silver Class,B,100.0,0,26,0.0,2600.0
Silver Class,C,100.0,0,26,0.0,2600.0
Silver Class,D,100.0,0,26,0.0,2600.0
Silver Class,E,100.0,0,26,0.0,2600.0
Silver Class,F,100.0,0,24,0.0,2400.0
