Class,Row,Price,Available_count,Booked_count,Available_cost,Booked_cost
VIP,A,150.0,0,3,0.0,450.0
VIP,B,150.0,0,3,0.0,450.0
VIP,C,150.0,0,3,0.0,450.0
PREMIUM,A,150.0,26,0,3900.0,0.0
GOLD,A,100.0,28,0,2800.0,0.0
GOLD,B,100.0,25,1,2500.0,100.0
GOLD,C,100.0,26,0,2600.0,0.0
GOLD,D,100.0,26,0,2600.0,0.0
GOLD,E,100.0,26,0,2600.0,0.0
GOLD,F,100.0,26,0,2600.0,0.0
GOLD,-,100.0,0,0,0.0,0.0
GOLD,G,100.0,0,24,0.0,2400.0
GOLD,H,100.0,0,24,0.0,2400.0
GOLD,I,100.0,0,24,0.0,2400.0
GOLD,J,100.0,24,0,2400.0,0.0
GOLD,K,100.0,24,0,2400.0,0.0
GOLD,L,100.0,24,0,2400.0,0.0
GOLD,M,100.0,24,0,2400.0,0.0
GOLD,N,100.0,24,0,2400.0,0.0
GOLD,O,100.0,0,22,0.0,2200.0
GOLD,P,100.0,0,22,0.0,2200.0
GOLD,Q,100.0,0,22,0.0,2200.0
GOLD,R,100.0,0,22,0.0,2200.0
GOLD,S,100.0,0,22,0.0,2200.0
