Seat Class,Row,Column,Seat Number,Availability Status,Price
BOXA,Z,1,1,Available,150
BOXA,Z,2,2,Available,150
BOXA,Z,3,3,Available,150
BOXA,Z,4,4,Available,150
BOXA,Z,5,5,Unavailable,150
BOXA,Z,6,6,Unavailable,150
BOXA,Z,7,7,Unavailable,150
BOXA,Z,8,8,Available,150
BOXA,Z,9,9,Available,150
BOXA,Z,10,10,Available,150
BOXA,Z,11,11,Available,150
BOXA,Z,1,12,Available,150
BOXA,Z,2,13,Available,150
BOXA,Z,3,14,Available,150
BOXA,Z,4,15,Available,150
BOXA,Z,5,16,Available,150
BOXA,Z,6,17,Available,150
BOXA,Z,7,18,Available,150
BOXA,Z,8,19,Available,150
BOXA,Z,9,20,Available,150
BOXA,Z,10,21,Available,150
BOXB,Z,1,22,Available,150
BOXB,Z,2,23,Available,150
BOXB,Z,3,24,Available,150
BOXB,Z,4,25,Available,150
BOXB,Z,5,26,Available,150
BOXB,Z,6,27,Available,150
BOXB,Z,7,28,Available,150
BOXB,Z,8,29,Available,150
BOXB,Z,9,30,Unavailable,150
BOXB,Z,10,31,Unavailable,150
BOXB,Z,1,32,Available,150
BOXB,Z,2,33,Available,150
BOXB,Z,3,34,Available,150
BOXB,Z,4,35,Available,150
BOXB,Z,5,36,Available,150
BOXB,Z,6,37,Available,150
BOXB,Z,7,38,Available,150
BOXB,Z,8,39,Available,150
BOXB,Z,9,40,Available,150
BOXB,Z,10,41,Available,150
BOXB,Z,1,42,Available,150
BOXB,Z,2,43,Available,150
BOXB,Z,3,44,Available,150
BOXB,Z,4,45,Available,150
BOXB,Z,5,46,Available,150
BOXB,Z,6,47,Available,150
BOXB,Z,7,48,Available,150
BOXB,Z,8,49,Available,150
BOXB,Z,9,50,Available,150
BOXB,Z,10,51,Available,150
GOLD,A,1,1,Available,150
GOLD,A,2,2,Available,150
GOLD,A,3,3,Available,150
GOLD,A,4,4,Available,150
GOLD,A,5,5,Available,150
GOLD,A,6,6,Available,150
GOLD,A,7,7,Available,150
GOLD,A,8,8,Available,150
GOLD,A,9,9,Available,150
GOLD,A,10,10,Available,150
GOLD,A,11,11,Available,150
GOLD,A,12,12,Available,150
GOLD,A,13,13,Available,150
GOLD,A,14,,Available,150
GOLD,A,15,,Available,150
GOLD,A,16,,Available,150
GOLD,A,17,,Available,150
GOLD,A,18,,Available,150
GOLD,A,19,,Available,150
GOLD,A,20,,Available,150
GOLD,A,21,,Available,150
GOLD,A,22,,Available,150
GOLD,A,23,,Available,150
GOLD,A,24,,Available,150
GOLD,A,25,,Available,150
GOLD,A,26,,Available,150
GOLD,A,27,,Available,150
GOLD,A,28,,Available,150
GOLD,A,29,,Available,150
GOLD,A,30,,Available,150
GOLD,A,31,,Available,150
GOLD,A,32,,Available,150
GOLD,A,33,,Available,150
