Seat Class,Row,Column,Seat Number,Availability Status,Price
DIAMOND,A,1,1,Available,150
DIAMOND,A,2,2,Available,150
DIAMOND,A,3,3,Available,150
DIAMOND,A,4,4,Available,150
DIAMOND,A,5,5,Available,150
DIAMOND,A,6,6,Available,150
DIAMOND,A,7,7,Available,150
DIAMOND,A,8,8,Available,150
DIAMOND,A,9,9,Available,150
DIAMOND,A,10,10,Available,150
DIAMOND,A,11,11,Available,150
DIAMOND,A,12,12,Available,150
DIAMOND,A,13,13,Available,150
DIAMOND,A,14,,Available,150
DIAMOND,A,15,,Available,150
DIAMOND,A,16,,Available,150
DIAMOND,A,17,,Available,150
DIAMOND,A,18,,Available,150
DIAMOND,A,19,,Available,150
DIAMOND,A,20,,Available,150
DIAMOND,A,21,,Available,150
DIAMOND,A,22,,Available,150
DIAMOND,A,23,,Available,150
DIAMOND,A,24,,Available,150
DIAMOND,A,25,,Available,150
DIAMOND,A,26,,Available,150
DIAMOND,A,27,,Available,150
DIAMOND,A,28,,Available,150
DIAMOND,A,29,,Available,150
DIAMOND,A,30,,Available,150
DIAMOND,B,1,1,Available,150
DIAMOND,B,2,2,Available,150
DIAMOND,B,3,3,Available,150
DIAMOND,B,4,4,Available,150
DIAMOND,B,5,5,Available,150
DIAMOND,B,6,6,Available,150
DIAMOND,B,7,7,Available,150
DIAMOND,B,8,8,Available,150
DIAMOND,B,11,9,Unavailable,150
DIAMOND,B,12,10,Unavailable,150
DIAMOND,B,13,11,Available,150
DIAMOND,B,14,,Unavailable,150
DIAMOND,B,15,,Unavailable,150
DIAMOND,B,16,,Unavailable,150
DIAMOND,B,17,,Unavailable,150
DIAMOND,B,18,,Available,150
DIAMOND,B,19,,Available,150
DIAMOND,B,22,,Available,150
DIAMOND,B,23,,Available,150
DIAMOND,B,24,,Available,150
DIAMOND,B,25,,Available,150
DIAMOND,B,26,,Available,150
DIAMOND,B,27,,Available,150
DIAMOND,B,28,,Available,150
DIAMOND,B,29,,Available,150
DIAMOND,C,1,1,Available,150
DIAMOND,C,2,2,Available,150
DIAMOND,C,3,3,Available,150
DIAMOND,C,4,4,Available,150
DIAMOND,C,5,5,Available,150
DIAMOND,C,6,6,Available,150
DIAMOND,C,7,7,Available,150
DIAMOND,C,8,8,Available,150
DIAMOND,C,11,9,Available,150
DIAMOND,C,12,10,Unavailable,150
DIAMOND,C,13,11,Unavailable,150
DIAMOND,C,14,,Available,150
DIAMOND,C,15,,Unavailable,150
DIAMOND,C,16,,Unavailable,150
DIAMOND,C,17,,Available,150
DIAMOND,C,18,,Available,150
