Seat Class,Row,Column,Seat Number,Availability Status,Price
PLATINUM RECLINER,A,1,1,Available,300
PLATINUM RECLINER,A,2,2,Available,300
PLATINUM RECLINER,A,3,3,Available,300
PLATINUM RECLINER,A,4,4,Available,300
PLATINUM RECLINER,A,5,5,Available,300
PLATINUM RECLINER,A,6,6,Available,300
PLATINUM RECLINER,A,7,7,Available,300
PLATINUM RECLINER,A,8,8,Available,300
PLATINUM RECLINER,A,9,9,Available,300
PLATINUM RECLINER,A,10,10,Available,300
PLATINUM RECLINER,A,11,11,Available,300
PLATINUM RECLINER,A,12,12,Available,300
PLATINUM RECLINER,A,13,13,Available,300
PLATINUM RECLINER,A,14,,Available,300
PLATINUM RECLINER,A,15,,Available,300
PLATINUM RECLINER,A,16,,Available,300
PLATINUM RECLINER,A,17,,Available,300
PLATINUM RECLINER,A,18,,Available,300
PLATINUM RECLINER,A,19,,Available,300
PLATINUM RECLINER,A,20,,Available,300
GOLD,B,1,1,Available,200
GOLD,B,2,2,Available,200
GOLD,B,3,3,Available,200
GOLD,B,4,4,Available,200
GOLD,B,5,5,Available,200
GOLD,B,6,6,Available,200
GOLD,B,7,7,Available,200
GOLD,B,8,8,Available,200
GOLD,B,9,9,Available,200
GOLD,B,12,10,Available,200
GOLD,B,13,11,Available,200
GOLD,B,14,,Available,200
GOLD,B,15,,Available,200
GOLD,B,16,,Available,200
GOLD,B,17,,Available,200
GOLD,B,18,,Available,200
GOLD,B,19,,Available,200
GOLD,B,20,,Available,200
GOLD,B,21,,Available,200
GOLD,B,22,,Available,200
GOLD,B,23,,Available,200
GOLD,C,1,1,Available,200
GOLD,C,2,2,Available,200
GOLD,C,3,3,Available,200
GOLD,C,4,4,Available,200
GOLD,C,5,5,Available,200
GOLD,C,6,6,Available,200
GOLD,C,7,7,Available,200
GOLD,C,8,8,Available,200
GOLD,C,9,9,Available,200
GOLD,C,12,10,Available,200
GOLD,C,13,11,Available,200
GOLD,C,14,,Available,200
GOLD,C,15,,Available,200
GOLD,C,16,,Available,200
GOLD,C,17,,Available,200
GOLD,C,18,,Available,200
GOLD,C,19,,Available,200
GOLD,C,20,,Available,200
GOLD,C,21,,Available,200
GOLD,C,22,,Available,200
GOLD,C,23,,Available,200
GOLD,D,1,1,Available,200
GOLD,D,2,2,Available,200
GOLD,D,3,3,Available,200
GOLD,D,4,4,Available,200
GOLD,D,5,5,Available,200
GOLD,D,6,6,Available,200
GOLD,D,7,7,Available,200
GOLD,D,8,8,Available,200
GOLD,D,9,9,Available,200
GOLD,D,12,10,Available,200
GOLD,D,13,11,Available,200
GOLD,D,14,,Available,200
GOLD,D,15,,Available,200
GOLD,D,16,,Available,200
GOLD,D,17,,Available,200
GOLD,D,18,,Available,200
GOLD,D,19,,Available,200
GOLD,D,20,,Available,200
GOLD,D,21,,Available,200
GOLD,D,22,,Available,200
GOLD,D,23,,Available,200
GOLD,E,1,1,Available,200
GOLD,E,2,2,Available,200
GOLD,E,3,3,Available,200
GOLD,E,4,4,Available,200
GOLD,E,5,5,Available,200
GOLD,E,6,6,Available,200
GOLD,E,7,7,Available,200
GOLD,E,8,8,Available,200
GOLD,E,9,9,Available,200
GOLD,E,12,10,Available,200
GOLD,E,13,11,Available,200
GOLD,E,14,,Available,200
GOLD,E,15,,Available,200
GOLD,E,16,,Available,200
GOLD,E,17,,Available,200
GOLD,E,18,,Available,200
GOLD,E,19,,Available,200
GOLD,E,20,,Available,200
GOLD,E,21,,Available,200
GOLD,E,22,,Available,200
GOLD,E,23,,Available,200
GOLD,F,1,1,Available,200
GOLD,F,2,2,Available,200
GOLD,F,3,3,Available,200
GOLD,F,4,4,Available,200
GOLD,F,5,5,Available,200
GOLD,F,6,6,Available,200
GOLD,F,7,7,Available,200
GOLD,F,8,8,Available,200
GOLD,F,9,9,Available,200
GOLD,F,12,10,Available,200
GOLD,F,13,11,Available,200
GOLD,F,14,,Available,200
GOLD,F,15,,Available,200
GOLD,F,16,,Available,200
GOLD,F,17,,Available,200
GOLD,F,18,,Available,200
GOLD,F,19,,Available,200
GOLD,F,20,,Available,200
GOLD,F,21,,Available,200
GOLD,F,22,,Available,200
GOLD,F,23,,Available,200
GOLD,G,1,1,Available,200
GOLD,G,2,2,Available,200
GOLD,G,3,3,Available,200
GOLD,G,4,4,Available,200
GOLD,G,5,5,Available,200
GOLD,G,6,6,Available,200
GOLD,G,7,7,Available,200
GOLD,G,8,8,Available,200
GOLD,G,9,9,Available,200
GOLD,G,12,10,Available,200
GOLD,G,13,11,Available,200
GOLD,G,14,,Available,200
GOLD,G,15,,Available,200
GOLD,G,16,,Available,200
GOLD,G,17,,Available,200
GOLD,G,18,,Available,200
GOLD,G,19,,Available,200
GOLD,H,1,1,Available,200
GOLD,H,2,2,Available,200
GOLD,H,3,3,Available,200
GOLD,H,4,4,Available,200
GOLD,H,5,5,Available,200
GOLD,H,6,6,Available,200
GOLD,H,7,7,Available,200
GOLD,H,8,8,Available,200
GOLD,H,9,9,Available,200
GOLD,H,12,10,Available,200
GOLD,H,13,11,Available,200
GOLD,H,14,,Available,200
GOLD,H,15,,Available,200
GOLD,H,16,,Available,200
GOLD,H,17,,Available,200
GOLD,H,18,,Available,200
GOLD,H,19,,Available,200
GOLD,i,1,1,Available,200
GOLD,i,2,2,Available,200
GOLD,i,3,3,Available,200
GOLD,i,4,4,Available,200
GOLD,i,5,5,Available,200
GOLD,i,6,6,Available,200
GOLD,i,7,7,Available,200
GOLD,i,8,8,Available,200
GOLD,i,9,9,Available,200
GOLD,i,12,10,Available,200
GOLD,i,13,11,Available,200
GOLD,i,14,,Available,200
GOLD,i,15,,Available,200
GOLD,i,16,,Available,200
GOLD,i,17,,Available,200
GOLD,i,18,,Available,200
GOLD,i,19,,Available,200
GOLD,J,1,1,Available,200
GOLD,J,2,2,Available,200
GOLD,J,3,3,Available,200
GOLD,J,4,4,Available,200
GOLD,J,5,5,Available,200
GOLD,J,6,6,Available,200
GOLD,J,7,7,Available,200
GOLD,J,8,8,Available,200
GOLD,J,9,9,Available,200
GOLD,J,12,10,Available,200
GOLD,J,13,11,Available,200
GOLD,J,14,,Available,200
GOLD,J,15,,Available,200
GOLD,J,16,,Available,200
GOLD,J,17,,Available,200
GOLD,J,18,,Available,200
GOLD,J,19,,Available,200
SILVER,K,1,,Available,180
SILVER,K,2,,Available,180
SILVER,K,3,,Available,180
SILVER,K,4,,Available,180
SILVER,K,5,,Available,180
SILVER,K,6,,Available,180
SILVER,K,7,,Available,180
SILVER,K,8,,Available,180
SILVER,K,9,,Available,180
SILVER,K,12,,Available,180
SILVER,K,13,,Available,180
SILVER,K,14,,Available,180
SILVER,K,15,,Available,180
SILVER,K,16,,Available,180
SILVER,K,17,,Available,180
SILVER,K,18,,Available,180
SILVER,K,19,,Available,180
SILVER,L,1,,Available,180
SILVER,L,2,,Available,180
SILVER,L,3,,Available,180
SILVER,L,4,,Available,180
SILVER,L,5,,Available,180
SILVER,L,6,,Available,180
SILVER,L,7,,Available,180
SILVER,L,8,,Available,180
SILVER,L,9,,Available,180
SILVER,L,12,,Available,180
SILVER,L,13,,Available,180
SILVER,L,14,,Available,180
SILVER,L,15,,Available,180
SILVER,L,16,,Available,180
SILVER,L,17,,Available,180
SILVER,L,18,,Available,180
SILVER,L,19,,Available,180
