Seat Class,Row,Column,Seat Number,Availability Status,Price
 class ROYAL,G,1,1,Available,550
 class ROYAL,G,2,2,Available,550
 class ROYAL,G,4,3,Available,550
 class ROYAL,G,5,4,Available,550
 class ROYAL,G,7,5,Available,550
 class ROYAL,G,8,6,Available,550
 class ROYAL,G,10,7,Available,550
 class ROYAL,G,11,8,Available,550
 class ROYAL,F,2,2,Unavailable,550
 class ROYAL,F,3,3,Unavailable,550
 class ROYAL,F,5,4,Unavailable,550
 class ROYAL,F,6,5,Unavailable,550
 class ROYAL,F,8,6,Available,550
 class ROYAL,F,9,7,Available,550
 class ROYAL,F,11,8,Available,550
 class ROYAL,F,12,9,Available,550
 class ROYAL,F,14,,Available,550
 class ROYAL,E,2,2,Available,550
 class ROYAL,E,3,3,Available,550
 class ROYAL,E,5,4,Available,550
 class ROYAL,E,6,5,Available,550
 class ROYAL,E,8,6,Available,550
 class ROYAL,E,9,7,Available,550
 class RECLINERS,D,2,2,Available,500
 class RECLINERS,D,3,3,Available,500
 class RECLINERS,D,5,4,Available,500
 class RECLINERS,D,6,5,Available,500
 class RECLINERS,D,8,6,Available,500
 class RECLINERS,D,9,7,Available,500
 class RECLINERS,C,2,2,Available,500
 class RECLINERS,C,3,3,Available,500
 class RECLINERS,C,5,4,Available,500
 class RECLINERS,C,6,5,Available,500
 class RECLINERS,C,8,6,Available,500
 class RECLINERS,C,9,7,Available,500
 class RECLINERS,B,2,2,Available,500
 class RECLINERS,B,3,3,Available,500
 class RECLINERS,B,5,4,Available,500
 class RECLINERS,B,6,5,Available,500
 class RECLINERS,B,8,6,Available,500
 class RECLINERS,B,9,7,Available,500
 class RECLINERS,A,2,,Available,500
 class RECLINERS,A,3,,Available,500
 class RECLINERS,A,5,,Available,500
 class RECLINERS,A,6,,Available,500
 class RECLINERS,A,8,,Available,500
 class RECLINERS,A,9,,Available,500
